document_id,project_id,project_name,publish_date,outlet,stance_code,frame_code,reasoning,coder,model_name
JKPOST0020141111eabb00012,P029,General,2014-11-12,The Jakarta Post,Neutral,F5,"Piece explains Jokowi’s “free and active” diplomacy in balancing between Xi and Obama, focusing on Indonesia’s middle position rather than specific investment benefits or risks.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141112eabc00004,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-12,The Jakarta Post,Supportive,F5,Op-ed argues Indonesia should join the China-led AIIB to gain alternative infrastructure financing and strengthen its regional standing under a bebas-aktif foreign policy.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141112eabc0000n,P159,Morowali (biomass power plant),2014-11-12,The Jakarta Post,Supportive,F1,"Story presents the Morowali biomass power plant as a realistic solution to local energy needs supporting households and smelter activity, with no major governance or social concerns raised.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141112eabc0001a,P029,General,2014-11-12,The Jakarta Post,Opposed,F2,Coverage of Bumi Resources’ bond downgrade stresses repeated payment failures and earlier distressed exchanges with China Investment Corporation as signs of severe debt overhang.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141112eabc0001g,P029,General,2014-11-17,The Jakarta Post,Supportive,F5,"Article portrays Jokowi’s redefinition of “free and active” diplomacy as insisting that foreign partnerships, including with China, directly benefit Indonesia’s interests.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141117eabh00003,P029,General,2014-11-26,The Jakarta Post,Supportive,F5,Analysis highlights AIIB and China’s Silk Road Infrastructure Fund as positive new sources of capital that align regional initiatives with Jokowi’s infrastructure and maritime agenda.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141126eabq00007,P029,General,2014-11-26,Tempo,Neutral,F1,Profile of Surya Paloh touches on China-linked Angola oil deals but mainly discusses political influence and infrastructure ideas without framing Chinese capital as good or bad.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020141126eabq001bb,P029,General,2014-11-27,The Jakarta Post,Opposed,F2,Report emphasizes Bumi’s 3.73 billion dollar debt burden and large obligation to CIC as evidence of financial distress requiring court protection and painful restructuring.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141127eabr0001g,P003,Asian Infrastructure Investment Bank (AIIB),2014-11-30,Tempo,Supportive,F5,News on Indonesia signing the AIIB memorandum of understanding casts the bank as crucial to support Asian connectivity and Indonesia’s infrastructure and productive sectors.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020141130eabu0012x,P029,General,2014-12-04,The Jakarta Post,Neutral,F5,"Op-ed on renminbi internationalization and new China-led banks describes China’s growing financial role and instruments such as AIIB in an analytical, non-normative tone.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141204eac40000t,P181,Morowali nickel smelter,2014-12-05,The Jakarta Post,Supportive,F1,"Article explains that the ore export ban has attracted dozens of smelter projects, including large Chinese-backed nickel plants in Morowali, as part of downstream industrialization.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141205eac50001a,P147,Maritime Silk Road,2014-12-13,The Jakarta Post,Supportive,F5,Commentary argues that China’s Maritime Silk Road and AIIB can dovetail with Jokowi’s maritime-fulcrum vision and finance Indonesian port and sea-lane development.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141213eacd0000t,P147,Maritime Silk Road,2014-12-15,The Jakarta Post,Supportive,F5,Chinese diplomat’s op-ed stresses a China-ASEAN “community of common destiny” and the 21st century Maritime Silk Road as mutually beneficial strategic partnerships for security and growth.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141215eacf0000n,P003,Asian Infrastructure Investment Bank (AIIB),2014-12-17,The Jakarta Post,Supportive,F1,Editorial welcomes Indonesia’s decision to join the AIIB as expanding long-term infrastructure financing while noting land-acquisition reforms needed to make projects bankable.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141217each0000k,P029,General,2014-12-17,The Jakarta Post,Opposed,F2,"Opinion warns that instead of relying on Chinese financing and AIIB, Indonesia should emulate China’s own development banks to avoid dependence on foreign capital for infrastructure.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141217each0000l,P029,General,2014-12-17,The Jakarta Post,Neutral,F1,Column treats slowing Chinese palm-oil demand as an external shock and advocates deepening the domestic CPO market and biodiesel use to stabilize revenues.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141217each0001a,P143,Manado–Bitung toll road,2014-12-30,The Jakarta Post,Neutral,F1,"Report on higher road-repair and toll-road budgets briefly notes China-funded Manado–Bitung toll road as one of several projects, treating the loan as routine infrastructure financing.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020141230eacu0001b,P003,Asian Infrastructure Investment Bank (AIIB),2015-01-13,The Jakarta Post,Neutral,F1,"Article centers on ADB support for Jokowi’s infrastructure plans and mentions the China-led AIIB alongside other lenders in a factual way, without endorsing or criticizing Chinese finance.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150113eb1d00014,P029,General,2015-01-21,The Jakarta Post,Supportive,F1,"BKPM urges Chinese investors to realize pledged FDI to help fund infrastructure and correct trade imbalances, framing Chinese capital as a needed driver of growth.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150121eb1l0001b,P029,General,2015-01-30,The Jakarta Post,Neutral,F5,Chronology of Jokowi’s first 100 days neutrally records his trips to Beijing and meetings with Xi and other leaders as part of Indonesia’s foreign-policy positioning.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150130eb1u00031,P173,Morowali industrial estate (nickel smelter),2015-02-17,The Jakarta Post,Supportive,F1,Piece highlights new industrial estates such as the Morowali nickel complex co-developed with China’s Tsingshan as anchors for jobs and regional industrialization.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150217eb2h00019,P029,General,2015-02-19,Tempo,Supportive,F1,"Cameron’s Chinese New Year message praises UK–China economic ties and Chinese investment’s contribution to British infrastructure, presenting the relationship as mutually beneficial.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020150219eb2j000gq,P190,New Silk Road,2015-02-21,The Jakarta Post,Neutral,F5,Essay surveys Asia’s market integration and notes China’s role and the New Silk Road as part of broader regional realignments without taking a clear normative stance.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150221eb2l0001h,P009,Balikpapan–Samarinda toll road,2015-02-25,The Jakarta Post,Supportive,F1,Story on Kalimantan infrastructure notes a Chinese loan for the Balikpapan–Samarinda toll road as helping finance connectivity improvements in outer regions.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150225eb2p0001g,P029,General,2015-03-25,The Jakarta Post,Opposed,F4,"Editorial criticizes Jokowi’s inability to unblock stalled infrastructure projects despite wooing Japanese and Chinese investors, stressing MoUs that never materialize due to governance and execution failures.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150325eb3p0000o,P029,General,2015-03-27,The Jakarta Post,Neutral,F5,Commentary on Jokowi’s Japan visit discusses balancing relations with Japan and China and strategic competition in East Asia without clearly favoring or attacking Chinese involvement.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150327eb3r0000s,P183,Morowali nickel smelter (Sulawesi Mining Investment),2015-03-31,The Jakarta Post,Supportive,F1,Article describes a large Sino–Indonesian ferronickel smelter in Central Sulawesi and related projects as key to meeting ambitious provincial investment and industrial targets.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150331eb3v00015,P121,Jakarta–Bandung high-speed rail,2015-04-07,The Jakarta Post,Opposed,F4,"Op-ed questions the Jakarta–Bandung fast-train deal signed with Chinese counterparts as opaque, unfair to other regions, and unlikely to deliver broad job benefits, emphasizing governance and distributional concerns.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150407eb470000m,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-09,The Jakarta Post,Neutral,F5,"Kyodo report outlines Japan’s hesitations and conditions for possibly joining the China-led AIIB, focusing on governance and US–Japan coordination rather than endorsing or rejecting the bank.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150409eb490001d,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-12,Tempo,Supportive,F5,"Reuters-based piece relays AIIB officials’ assurances that the China-led bank will be “lean, clean and green”, countering Western concerns about transparency and safeguards.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020150412eb4c000xd,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-15,The Jakarta Post,Supportive,F5,"Stiglitz op-ed lauds the China-launched AIIB as a needed addition to global infrastructure finance and criticizes US opposition, framing it as positive for Asia’s development and multilateralism.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150415eb4f0000u,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-18,The Jakarta Post,Supportive,F5,Indonesian ambassador’s article portrays the emerging AIIB alongside Bretton Woods institutions as a significant new development actor that Indonesia should engage with constructively.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150418eb4i0000n,P029,General,2015-04-20,The Jakarta Post,Supportive,F1,Report on an Indonesian embassy “investment desk” in China emphasizes efforts to ease information and regulatory barriers so that large pledged Chinese investments in infrastructure and industry can materialize.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150420eb4k00018,P029,General,2015-04-22,The Jakarta Post,Neutral,F5,Juwono Sudarsono analyzes China–Japan rivalry and Indonesia’s diplomatic balancing in a reflective tone that neither promotes nor opposes closer alignment with China.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150422eb4m0000i,P029,General,2015-04-22,Tempo,Neutral,F5,"Reuters story covers Jokowi’s call for a new, more inclusive global financial architecture at the Asian–African conference, mentioning China as one rising power without framing its role as a specific threat or solution.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020150422eb4m00106,P029,General,2015-04-22,Tempo,Supportive,F1,"Interview with the BKPM chief discusses attracting more FDI including from China despite licensing hurdles, treating Chinese investors as desirable partners for Indonesia’s growth.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020150422eb4m0028l,P017,Belt and Road Initiative,2015-04-23,The Jakarta Post,Neutral,F5,"Reflects on Bandung’s legacy, South China Sea tensions and China’s Belt and Road role, acknowledging both the need for Chinese investment and concerns over inequality and imported labor.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150423eb4n0000p,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-23,The Jakarta Post,Neutral,F5,"Discusses India–Indonesia relations, NAM and AIIB as a Chinese-led funding vehicle in the broader regional order without clearly endorsing or criticizing it.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150423eb4n0000r,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-24,Tempo,Neutral,F5,"Clarifies that Indonesia will maintain ties with IMF/WB/ADB even as Jokowi’s speech is read as a tilt toward China’s AIIB, presenting a balancing foreign-policy stance.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020150424eb4o000dx,P029,General,2015-04-24,The Jakarta Post,Neutral,F5,"Covers reactions to Jokowi’s Bandung speech and speculation about moving closer to China while officials insist the “free and active” doctrine remains, focusing on alignment rather than clear support or opposition.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150424eb4o00015,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-25,The Jakarta Post,Neutral,F5,Reports leaders’ criticism of a West-led order and Mugabe’s praise of China-backed AIIB as a “voice of the South” in a descriptive tone without explicit editorial judgment.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150425eb4p00007,P029,General,2015-04-25,Tempo,Opposed,F5,"Analyst warns that Jokowi’s rejection of IMF/WB aid makes Indonesia appear to be siding with China and cautions against potential exploitation, stressing the risks of a China-leaning shift.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020150425eb4p000xf,P029,General,2015-04-27,Tempo,Supportive,F1,"Describes large CDB and ICBC loans for SOEs to fund power, smelters, rail and shipbuilding as crucial financing for infrastructure, without highlighting major downsides.",final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020150427eb4r0018i,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-28,The Jakarta Post,Supportive,F4,"Op-ed supports the China-led AIIB but calls for strong ESG and CSR standards, emphasizing governance and environmental safeguards in its operations.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150428eb4s0000j,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-28,The Jakarta Post,Neutral,F5,"Article states Indonesia still needs WB/IMF/ADB while seeking a major role in AIIB and insisting on not being “dictated,” framing a recalibrated but balanced alignment.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150428eb4s00015,P029,General,2015-04-29,The Jakarta Post,Opposed,F4,"Commentary criticizes extensive state guarantees for 35 GW electrification as environmentally damaging and financially risky, stressing governance and design problems.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150429eb4t0000h,P003,Asian Infrastructure Investment Bank (AIIB),2015-04-29,The Jakarta Post,Supportive,F5,"Reports that Indonesia may shift several infrastructure projects to the AIIB in response to limited WB/ADB funding, presenting the China-led bank as a key alternative financier.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150502eb5200018,P029,General,2015-05-04,The Jakarta Post,Supportive,F1,"Highlights ADB’s plan to boost lending and grants and notes expected benefits for Indonesia’s infrastructure and development, with no significant criticism.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150504eb540000y,P029,General,2015-05-06,The Jakarta Post,Opposed,F4,"Diagnoses infrastructure delays as stemming from weak preparation, institutional constraints and regulatory risks, emphasizing governance shortcomings over project benefits.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150506eb560000l,P003,Asian Infrastructure Investment Bank (AIIB),2015-05-11,The Jakarta Post,Opposed,F5,"Op-ed argues that harsh rhetoric toward IMF/WB/ADB and welcoming AIIB without Japan is a “fatal” strategic move, stressing shallow Chinese investment impact and favoring Japan.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150511eb5b0000i,P003,Asian Infrastructure Investment Bank (AIIB),2015-05-12,The Jakarta Post,Supportive,F1,"Explains GIF, AIIB and GIH as complementary institutions created to close Asia’s vast infrastructure funding gap and help countries like Indonesia structure projects better.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150512eb5c0000g,P017,Belt and Road Initiative,2015-05-19,Tempo,Supportive,F5,Brief notes that China Banking Association’s planned Asian financial cooperation network and Belt and Road-linked projects aim to strengthen Asia’s role in global finance.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020150519eb5j0020a,P180,Morowali nickel project,2015-05-23,The Jakarta Post,Opposed,F4,"Reports accusations that Bintang Delapan’s Morowali mine lacks an AMDAL and operates illegally, highlighting environmental permitting and regulatory enforcement concerns.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150523eb5n0000a,P029,General,2015-05-26,Tempo,Supportive,F1,Describes Kadin’s plan to set up special funds and an investment company to channel capital into eastern Indonesia’s energy and infrastructure as a pro-development initiative.,final_thesis_labels,unspecified_llm_assisted_workflow
TEMPOE0020150526eb5q000dx,P121,Jakarta–Bandung high-speed rail,2015-05-26,The Jakarta Post,Opposed,F5,"Geopolitical essay contrasts Japan’s “quality infrastructure” with China’s AIIB and rail offers and urges Indonesia to scrutinize jobs, local content and technology transfer in the Jakarta–Bandung HSR tender.",final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150526eb5q0002w,P029,General,2015-06-01,The Jakarta Post,Neutral,F5,Column criticizes Jokowi for sidelining ASEAN in favor of big-power ties (including with China) but mainly assesses regional diplomacy rather than clearly backing or opposing Chinese finance.,final_thesis_labels,unspecified_llm_assisted_workflow
JKPOST0020150601eb610000o,P001,AIIB,2015-06-04,The Jakarta Post,Neutral,F5,Commentary on global order and reform of multilateral institutions focuses on US–China roles and cites AIIB mainly as part of a shifting geopolitical order rather than specific project impacts.,final_thesis_labels,unspecified_llm_assisted_workflow
